frame_idx,seq,sample_id,weather,patch_idx,foreground,camera,lidar,radar,dominant,dominant_value,dominance_margin,entropy,balance_score,fg_gate
0,1,00182,urban,487,1,0.002089,0.997588,0.000323,L,0.997588,0.995498,0.016293,0.002736,0.297660
0,1,00182,urban,1134,1,0.000001,0.999999,0.000000,L,0.999999,0.999998,0.000013,0.000001,0.531273
0,1,00182,urban,1404,1,0.008637,0.990167,0.001195,L,0.990167,0.981530,0.053586,0.011028,0.128988
0,1,00182,urban,402,1,0.003668,0.995666,0.000667,L,0.995666,0.991998,0.027098,0.005001,0.233362
0,1,00182,urban,1040,1,0.016863,0.980948,0.002189,L,0.980948,0.964085,0.092044,0.021241,0.118458
0,1,00182,urban,1315,1,0.001442,0.998320,0.000238,L,0.998320,0.996879,0.011919,0.001917,0.226125
0,1,00182,urban,1132,1,0.001031,0.998832,0.000137,L,0.998832,0.997800,0.008628,0.001305,0.168261
0,1,00182,urban,1133,1,0.000002,0.999998,0.000000,L,0.999998,0.999995,0.000032,0.000003,0.472092
0,1,00182,urban,1183,0,0.027082,0.967688,0.005230,L,0.967688,0.940606,0.142905,0.037543,0.184876
0,1,00182,urban,889,0,0.004391,0.995000,0.000608,L,0.995000,0.990609,0.030336,0.005608,0.168148
0,1,00182,urban,1216,0,0.011404,0.987020,0.001576,L,0.987020,0.975615,0.067435,0.014556,0.128927
0,1,00182,urban,1165,0,0.007577,0.991555,0.000868,L,0.991555,0.983978,0.046902,0.009314,0.084177
1,1,00183,urban,492,1,0.007926,0.990812,0.001262,L,0.990812,0.982886,0.050894,0.010450,0.182324
1,1,00183,urban,309,1,0.001580,0.998177,0.000243,L,0.998177,0.996596,0.012778,0.002066,0.201858
1,1,00183,urban,486,1,0.000220,0.999748,0.000032,L,0.999748,0.999528,0.002216,0.000284,0.310477
1,1,00183,urban,306,1,0.004998,0.994404,0.000598,L,0.994404,0.989406,0.033224,0.006194,0.128941
1,1,00183,urban,1220,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.751050
1,1,00183,urban,310,1,0.000876,0.998993,0.000131,L,0.998993,0.998117,0.007595,0.001137,0.199314
1,1,00183,urban,578,1,0.011509,0.986627,0.001864,L,0.986627,0.975119,0.069524,0.015237,0.263334
1,1,00183,urban,491,1,0.000132,0.999845,0.000023,L,0.999845,0.999713,0.001439,0.000178,0.441071
1,1,00183,urban,456,0,0.028227,0.967059,0.004715,L,0.967059,0.938832,0.144134,0.037656,0.101799
1,1,00183,urban,1125,0,0.004901,0.994417,0.000682,L,0.994417,0.989517,0.033318,0.006265,0.148602
1,1,00183,urban,322,0,0.003046,0.996571,0.000384,L,0.996571,0.993525,0.021925,0.003813,0.109503
1,1,00183,urban,1279,0,0.009640,0.989203,0.001158,L,0.989203,0.979563,0.057630,0.011955,0.114704
